--- Relatório Detalhado de Falhas (Blue Threshold: 0.12) ---

Arquivo: img_000009.jpg | Status: incorrect | Esperado: QRD1911 | Lido: ORD1911
Arquivo: img_000244.jpg | Status: detection_failed | Esperado: ODR2295 | Lido: 
Arquivo: img_000232.jpg | Status: ocr_failed | Esperado: PPW7559 | Lido: 
Arquivo: img_000234.jpg | Status: ocr_failed | Esperado: PPP7010 | Lido: 
Arquivo: img_000236.jpg | Status: incorrect | Esperado: MQW8039 | Lido: MQN8039
Arquivo: img_000241.jpg | Status: incorrect | Esperado: ODQ1051 | Lido: OOQ1051
Arquivo: img_000257.jpg | Status: detection_failed | Esperado: PPC9486 | Lido: 
Arquivo: img_000250.jpg | Status: ocr_failed | Esperado: ODI1892 | Lido: 
Arquivo: img_000253.jpg | Status: incorrect | Esperado: OYK7355 | Lido: OYK7359
Arquivo: img_000256.jpg | Status: ocr_failed | Esperado: PPX4854 | Lido: 
Arquivo: img_000269.jpg | Status: detection_failed | Esperado: PPA1379 | Lido: 
Arquivo: img_000263.jpg | Status: ocr_failed | Esperado: PPC6864 | Lido: 
Arquivo: img_000262.jpg | Status: ocr_failed | Esperado: PPW7557 | Lido: 
Arquivo: img_000278.jpg | Status: detection_failed | Esperado: NSA2861 | Lido: 
Arquivo: img_000275.jpg | Status: ocr_failed | Esperado: MSF3995 | Lido: 
Arquivo: img_000276.jpg | Status: incorrect | Esperado: ODP1456 | Lido: OOP1456
Arquivo: img_000281.jpg | Status: incorrect | Esperado: ODO7980 | Lido: OOO7880
Arquivo: img_000284.jpg | Status: ocr_failed | Esperado: KGD4016 | Lido: 
Arquivo: img_000289.jpg | Status: ocr_failed | Esperado: PPF9168 | Lido: 
Arquivo: img_000285.jpg | Status: incorrect | Esperado: ODO4239 | Lido: OOO4239
Arquivo: img_000301.jpg | Status: incorrect | Esperado: PPW4039 | Lido: PPW4O39
Arquivo: img_000307.jpg | Status: incorrect | Esperado: MKA7333 | Lido: IKA7333
Arquivo: img_000318.jpg | Status: detection_failed | Esperado: ODO3058 | Lido: 
Arquivo: img_000320.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_000314.jpg | Status: incorrect | Esperado: MTB8406 | Lido: NTB8A06
Arquivo: img_000327.jpg | Status: detection_failed | Esperado: ODS2955 | Lido: 
Arquivo: img_000328.jpg | Status: detection_failed | Esperado: ODG3967 | Lido: 
Arquivo: img_000316.jpg | Status: ocr_failed | Esperado: HOE1200 | Lido: 
Arquivo: img_000322.jpg | Status: incorrect | Esperado: ODT6173 | Lido: OOT6173
Arquivo: img_000321.jpg | Status: incorrect | Esperado: ODF0135 | Lido: OOF0135
Arquivo: img_000325.jpg | Status: ocr_failed | Esperado: MST4686 | Lido: 
Arquivo: img_000323.jpg | Status: incorrect | Esperado: ODH1374 | Lido: OOH1374
Arquivo: img_000326.jpg | Status: incorrect | Esperado: ODR4769 | Lido: DDR4769
Arquivo: img_000350.jpg | Status: incorrect | Esperado: MQZ2664 | Lido: MOZ2664
Arquivo: img_000351.jpg | Status: ocr_failed | Esperado: MTU0478 | Lido: 
Arquivo: img_000366.jpg | Status: detection_failed | Esperado: ODS2624 | Lido: 
Arquivo: img_000361.jpg | Status: ocr_failed | Esperado: PPX9986 | Lido: 
Arquivo: img_000359.jpg | Status: incorrect | Esperado: PPP7808 | Lido: PEP7E04
Arquivo: img_000372.jpg | Status: detection_failed | Esperado: PPM2187 | Lido: 
Arquivo: img_000377.jpg | Status: detection_failed | Esperado: MRL9688 | Lido: 
Arquivo: img_000369.jpg | Status: incorrect | Esperado: ODF5623 | Lido: DOF5623
Arquivo: img_000371.jpg | Status: incorrect | Esperado: ODI1892 | Lido: OOI1892
Arquivo: img_000379.jpg | Status: ocr_failed | Esperado: MRR1187 | Lido: 
Arquivo: img_000387.jpg | Status: detection_failed | Esperado: PPJ3352 | Lido: 
Arquivo: img_000385.jpg | Status: ocr_failed | Esperado: PPB2418 | Lido: 
Arquivo: img_000383.jpg | Status: incorrect | Esperado: PPU7496 | Lido: PPU7A96
Arquivo: img_000386.jpg | Status: ocr_failed | Esperado: EFV0889 | Lido: 
Arquivo: img_000390.jpg | Status: incorrect | Esperado: ODR0863 | Lido: ODR0B63
Arquivo: img_000401.jpg | Status: detection_failed | Esperado: OCZ1443 | Lido: 
Arquivo: img_000402.jpg | Status: detection_failed | Esperado: PPU7362 | Lido: 
Arquivo: img_000395.jpg | Status: incorrect | Esperado: ODI1892 | Lido: ATL0011
Arquivo: img_000418.jpg | Status: detection_failed | Esperado: ODT6163 | Lido: 
Arquivo: img_000420.jpg | Status: detection_failed | Esperado: MPI7944 | Lido: 
Arquivo: img_000421.jpg | Status: detection_failed | Esperado: MQM8730 | Lido: 
Arquivo: img_000422.jpg | Status: detection_failed | Esperado: PPW2922 | Lido: 
Arquivo: img_000417.jpg | Status: ocr_failed | Esperado: OYF6247 | Lido: 
Arquivo: img_000415.jpg | Status: ocr_failed | Esperado: MSK7666 | Lido: BBMPR
Arquivo: img_000423.jpg | Status: ocr_failed | Esperado: MSE9818 | Lido: NSE98TE
Arquivo: img_000424.jpg | Status: ocr_failed | Esperado: EZR1163 | Lido: 
Arquivo: img_000431.jpg | Status: incorrect | Esperado: QPU5730 | Lido: QPU5T30
Arquivo: img_000433.jpg | Status: ocr_failed | Esperado: ODG3176 | Lido: AM0DG3176
Arquivo: img_000443.jpg | Status: detection_failed | Esperado: MSL8231 | Lido: 
Arquivo: img_000444.jpg | Status: detection_failed | Esperado: PPO3623 | Lido: 
Arquivo: img_000437.jpg | Status: incorrect | Esperado: MSE3200 | Lido: NSE3200
Arquivo: img_000445.jpg | Status: ocr_failed | Esperado: PPV2861 | Lido: 
Arquivo: img_000440.jpg | Status: ocr_failed | Esperado: MQK1972 | Lido: 
Arquivo: img_000446.jpg | Status: incorrect | Esperado: OVJ2050 | Lido: OVA2050
Arquivo: img_000442.jpg | Status: incorrect | Esperado: ODS3207 | Lido: OOS3207
Arquivo: img_000452.jpg | Status: detection_failed | Esperado: GDL4498 | Lido: 
Arquivo: img_000453.jpg | Status: detection_failed | Esperado: PPO2122 | Lido: 
Arquivo: img_000448.jpg | Status: incorrect | Esperado: MRD4897 | Lido: MRO4897
Arquivo: img_000457.jpg | Status: incorrect | Esperado: AKE0129 | Lido: AKE8012
Arquivo: img_000461.jpg | Status: ocr_failed | Esperado: QRB8654 | Lido: HILLA
Arquivo: img_000464.jpg | Status: incorrect | Esperado: ODD9364 | Lido: OOD9364
Arquivo: img_000468.jpg | Status: incorrect | Esperado: ODQ9369 | Lido: OOO9369
Arquivo: img_000470.jpg | Status: incorrect | Esperado: ODG9132 | Lido: ONG9132
Arquivo: img_000473.jpg | Status: incorrect | Esperado: ODF4532 | Lido: OOF4532
Arquivo: img_000474.jpg | Status: incorrect | Esperado: PPX0700 | Lido: PPX0T00
Arquivo: img_000469.jpg | Status: incorrect | Esperado: ODR3706 | Lido: OOR3T06
Arquivo: img_000471.jpg | Status: incorrect | Esperado: ODF4543 | Lido: OOF4543
Arquivo: img_000477.jpg | Status: ocr_failed | Esperado: MTZ9247 | Lido: 
Arquivo: img_000496.jpg | Status: detection_failed | Esperado: QOY7508 | Lido: 
Arquivo: img_000499.jpg | Status: detection_failed | Esperado: PPI4806 | Lido: 
Arquivo: img_000491.jpg | Status: incorrect | Esperado: ODR5917 | Lido: ODR5G17
Arquivo: img_000503.jpg | Status: detection_failed | Esperado: QRD1552 | Lido: 
Arquivo: img_000497.jpg | Status: incorrect | Esperado: PPP6659 | Lido: PPP6G59
Arquivo: img_000493.jpg | Status: ocr_failed | Esperado: ODR4769 | Lido: DR4769
Arquivo: img_000500.jpg | Status: incorrect | Esperado: MPW6181 | Lido: MPW6I81
Arquivo: img_000501.jpg | Status: incorrect | Esperado: MQV6554 | Lido: MQV6S54
Arquivo: img_000512.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_000502.jpg | Status: ocr_failed | Esperado: QOL8801 | Lido: 
Arquivo: img_000505.jpg | Status: incorrect | Esperado: ODG1753 | Lido: ONG1753
Arquivo: img_000506.jpg | Status: incorrect | Esperado: MSV2120 | Lido: MSV2I20
Arquivo: img_000509.jpg | Status: ocr_failed | Esperado: ODI1892 | Lido: 
Arquivo: img_000510.jpg | Status: incorrect | Esperado: MTK3992 | Lido: MTK3G92
Arquivo: img_000513.jpg | Status: ocr_failed | Esperado: PPZ2997 | Lido: 
Arquivo: img_000515.jpg | Status: ocr_failed | Esperado: PPM7375 | Lido: 
Arquivo: img_000516.jpg | Status: incorrect | Esperado: ODA4892 | Lido: ODA4B92
Arquivo: img_000520.jpg | Status: incorrect | Esperado: ODT6181 | Lido: OOT6181
Arquivo: img_000519.jpg | Status: incorrect | Esperado: MTG5739 | Lido: VTG5739
Arquivo: img_000525.jpg | Status: incorrect | Esperado: ODS2015 | Lido: ODS2O15
Arquivo: img_000540.jpg | Status: detection_failed | Esperado: PPF8901 | Lido: 
Arquivo: img_000536.jpg | Status: incorrect | Esperado: ODT6482 | Lido: OOT6482
Arquivo: img_000535.jpg | Status: incorrect | Esperado: ODI1892 | Lido: ATE0011
Arquivo: img_000551.jpg | Status: detection_failed | Esperado: ODM8657 | Lido: 
Arquivo: img_000543.jpg | Status: ocr_failed | Esperado: ODT7146 | Lido: 00T746
Arquivo: img_000546.jpg | Status: ocr_failed | Esperado: ODP4215 | Lido: 
Arquivo: img_000545.jpg | Status: incorrect | Esperado: PPW4039 | Lido: PPW4O39
Arquivo: img_000548.jpg | Status: incorrect | Esperado: ODG3176 | Lido: OOG3176
Arquivo: img_000550.jpg | Status: incorrect | Esperado: ODS2861 | Lido: OOS2861
Arquivo: img_000559.jpg | Status: detection_failed | Esperado: DKB8587 | Lido: 
Arquivo: img_000560.jpg | Status: detection_failed | Esperado: MSC9142 | Lido: 
Arquivo: img_000552.jpg | Status: incorrect | Esperado: MTG5739 | Lido: VTG5739
Arquivo: img_000553.jpg | Status: incorrect | Esperado: ODO8346 | Lido: OOO8346
Arquivo: img_000566.jpg | Status: incorrect | Esperado: ODD3296 | Lido: OOO3296
Arquivo: img_000568.jpg | Status: ocr_failed | Esperado: QNR5824 | Lido: 
Arquivo: img_000569.jpg | Status: incorrect | Esperado: PPW7570 | Lido: PPW7S70
Arquivo: img_000582.jpg | Status: detection_failed | Esperado: ODG3967 | Lido: 
Arquivo: img_000571.jpg | Status: incorrect | Esperado: QRB9955 | Lido: ORB9955
Arquivo: img_000587.jpg | Status: detection_failed | Esperado: QQG7579 | Lido: 
Arquivo: img_000578.jpg | Status: incorrect | Esperado: PPA3833 | Lido: PPA3B33
Arquivo: img_000580.jpg | Status: incorrect | Esperado: ODO1303 | Lido: OOO1303
Arquivo: img_000594.jpg | Status: detection_failed | Esperado: MPM5666 | Lido: 
Arquivo: img_000581.jpg | Status: incorrect | Esperado: LOQ5504 | Lido: LOQ5S04
Arquivo: img_000584.jpg | Status: incorrect | Esperado: OVF6315 | Lido: OYF6315
Arquivo: img_000597.jpg | Status: detection_failed | Esperado: PPI7628 | Lido: 
Arquivo: img_000586.jpg | Status: ocr_failed | Esperado: PPE0122 | Lido: 
Arquivo: img_000599.jpg | Status: detection_failed | Esperado: MQP9840 | Lido: 
Arquivo: img_000590.jpg | Status: incorrect | Esperado: QRC0811 | Lido: ORC0811
Arquivo: img_000592.jpg | Status: incorrect | Esperado: ODG1753 | Lido: ODG1T53
Arquivo: img_000600.jpg | Status: detection_failed | Esperado: JHS7566 | Lido: 
Arquivo: img_000601.jpg | Status: detection_failed | Esperado: PPH7923 | Lido: 
Arquivo: img_000591.jpg | Status: incorrect | Esperado: DQF5959 | Lido: OOE5950
Arquivo: img_000609.jpg | Status: detection_failed | Esperado: ODS2861 | Lido: 
Arquivo: img_000612.jpg | Status: detection_failed | Esperado: MRO1351 | Lido: 
Arquivo: img_000602.jpg | Status: ocr_failed | Esperado: PPV3999 | Lido: 
Arquivo: img_000607.jpg | Status: incorrect | Esperado: ODB9073 | Lido: OOB9074
Arquivo: img_000603.jpg | Status: incorrect | Esperado: FSE3408 | Lido: FSE3400
Arquivo: img_000610.jpg | Status: incorrect | Esperado: ODJ7768 | Lido: OOJ7768
Arquivo: img_000608.jpg | Status: ocr_failed | Esperado: ODN9224 | Lido: MIITAR
Arquivo: img_000630.jpg | Status: detection_failed | Esperado: OVL3155 | Lido: 
Arquivo: img_000635.jpg | Status: detection_failed | Esperado: PPQ3307 | Lido: 
Arquivo: img_000625.jpg | Status: incorrect | Esperado: ODR3706 | Lido: OOR3706
Arquivo: img_000636.jpg | Status: ocr_failed | Esperado: MSA1557 | Lido: 
Arquivo: img_000651.jpg | Status: detection_failed | Esperado: BCD2302 | Lido: 
Arquivo: img_000641.jpg | Status: ocr_failed | Esperado: OCZ6223 | Lido: 
Arquivo: img_000644.jpg | Status: incorrect | Esperado: EEF7005 | Lido: EEF7O05
Arquivo: img_000655.jpg | Status: detection_failed | Esperado: KRQ3553 | Lido: 
Arquivo: img_000649.jpg | Status: ocr_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_000648.jpg | Status: ocr_failed | Esperado: ODP8769 | Lido: 
Arquivo: img_000650.jpg | Status: incorrect | Esperado: ODM6350 | Lido: OOM6350
Arquivo: img_000670.jpg | Status: detection_failed | Esperado: PPZ9928 | Lido: 
Arquivo: img_000664.jpg | Status: ocr_failed | Esperado: MSA7262 | Lido: MSA72E2
Arquivo: img_000674.jpg | Status: detection_failed | Esperado: PPW6229 | Lido: 
Arquivo: img_000678.jpg | Status: detection_failed | Esperado: QQR8453 | Lido: 
Arquivo: img_000684.jpg | Status: detection_failed | Esperado: EUV4667 | Lido: 
Arquivo: img_000685.jpg | Status: detection_failed | Esperado: PPZ1213 | Lido: 
Arquivo: img_000679.jpg | Status: incorrect | Esperado: PPP9250 | Lido: PPP3250
Arquivo: img_000677.jpg | Status: incorrect | Esperado: ODK7988 | Lido: DDK7988
Arquivo: img_000690.jpg | Status: detection_failed | Esperado: MSF0062 | Lido: 
Arquivo: img_000680.jpg | Status: incorrect | Esperado: OCV2491 | Lido: DCV2491
Arquivo: img_000682.jpg | Status: incorrect | Esperado: MRQ2842 | Lido: MRQ2B42
Arquivo: img_000689.jpg | Status: incorrect | Esperado: QRC6770 | Lido: ORC6770
Arquivo: img_000694.jpg | Status: ocr_failed | Esperado: MPQ7553 | Lido: MPQ755
Arquivo: img_000697.jpg | Status: detection_failed | Esperado: NZT9498 | Lido: 
Arquivo: img_000703.jpg | Status: ocr_failed | Esperado: PPW7538 | Lido: 
Arquivo: img_000702.jpg | Status: ocr_failed | Esperado: ODT6208 | Lido: ODT620
Arquivo: img_000720.jpg | Status: detection_failed | Esperado: MPV2866 | Lido: 
Arquivo: img_000722.jpg | Status: detection_failed | Esperado: ODM8060 | Lido: 
Arquivo: img_000723.jpg | Status: detection_failed | Esperado: MRD6023 | Lido: 
Arquivo: img_000724.jpg | Status: detection_failed | Esperado: ODM0982 | Lido: 
Arquivo: img_000721.jpg | Status: ocr_failed | Esperado: MRR3239 | Lido: 
Arquivo: img_000740.jpg | Status: ocr_failed | Esperado: MPR9390 | Lido: 
Arquivo: img_000752.jpg | Status: detection_failed | Esperado: OVF0684 | Lido: 
Arquivo: img_000774.jpg | Status: detection_failed | Esperado: ODP5721 | Lido: 
Arquivo: img_000765.jpg | Status: incorrect | Esperado: ODT5253 | Lido: OOT5253
Arquivo: img_000770.jpg | Status: ocr_failed | Esperado: PPN3181 | Lido: 
Arquivo: img_000785.jpg | Status: detection_failed | Esperado: MSV6051 | Lido: 
Arquivo: img_000775.jpg | Status: ocr_failed | Esperado: MRV4181 | Lido: MRV418
Arquivo: img_000776.jpg | Status: ocr_failed | Esperado: MPJ4391 | Lido: PJ4391
Arquivo: img_000786.jpg | Status: incorrect | Esperado: PPQ7354 | Lido: PPO7354
Arquivo: img_000787.jpg | Status: incorrect | Esperado: MSD0067 | Lido: MSD0O67
Arquivo: img_000792.jpg | Status: incorrect | Esperado: OVK4786 | Lido: OVK4T86
Arquivo: img_000799.jpg | Status: incorrect | Esperado: MSB9511 | Lido: MSB9S11
Arquivo: img_000810.jpg | Status: incorrect | Esperado: MTW3110 | Lido: MTH3110
Arquivo: img_000811.jpg | Status: incorrect | Esperado: ODD5117 | Lido: OOO5117
Arquivo: img_000813.jpg | Status: ocr_failed | Esperado: OCY0048 | Lido: 
Arquivo: img_000818.jpg | Status: ocr_failed | Esperado: OVF0528 | Lido: OVF052R
Arquivo: img_000835.jpg | Status: detection_failed | Esperado: PPE9212 | Lido: 
Arquivo: img_000831.jpg | Status: ocr_failed | Esperado: MSY5362 | Lido: 
Arquivo: img_000825.jpg | Status: incorrect | Esperado: AUD9870 | Lido: AUO9870
Arquivo: img_000843.jpg | Status: incorrect | Esperado: OVJ3026 | Lido: OVJ3O26
Arquivo: img_000854.jpg | Status: detection_failed | Esperado: MTS0837 | Lido: 
Arquivo: img_000858.jpg | Status: detection_failed | Esperado: PPW9610 | Lido: 
Arquivo: img_000849.jpg | Status: ocr_failed | Esperado: MTU8829 | Lido: M8825
Arquivo: img_000851.jpg | Status: incorrect | Esperado: PPY2924 | Lido: PPY2G24
Arquivo: img_000850.jpg | Status: ocr_failed | Esperado: MSB7881 | Lido: MSB788
Arquivo: img_000853.jpg | Status: incorrect | Esperado: MQQ9406 | Lido: MQO9406
Arquivo: img_000871.jpg | Status: detection_failed | Esperado: OVI6720 | Lido: 
Arquivo: img_000864.jpg | Status: ocr_failed | Esperado: ODL3304 | Lido: 
Arquivo: img_000866.jpg | Status: incorrect | Esperado: ODO9564 | Lido: OOO9564
Arquivo: img_000869.jpg | Status: ocr_failed | Esperado: OYF3809 | Lido: 
Arquivo: img_000868.jpg | Status: incorrect | Esperado: LVZ1701 | Lido: LYZ1701
Arquivo: img_000870.jpg | Status: incorrect | Esperado: ODJ5347 | Lido: OOJ5347
Arquivo: img_000873.jpg | Status: ocr_failed | Esperado: HMI7411 | Lido: HM1741
Arquivo: img_000885.jpg | Status: ocr_failed | Esperado: MQY8591 | Lido: 
Arquivo: img_000884.jpg | Status: ocr_failed | Esperado: OVF7371 | Lido: 
Arquivo: img_000896.jpg | Status: incorrect | Esperado: ODQ6589 | Lido: OQQ6589
Arquivo: img_000899.jpg | Status: incorrect | Esperado: MQS4940 | Lido: MQS4G40
Arquivo: img_000910.jpg | Status: ocr_failed | Esperado: OYI9947 | Lido: 
Arquivo: img_000912.jpg | Status: ocr_failed | Esperado: MSU2805 | Lido: MSU290
Arquivo: img_000916.jpg | Status: ocr_failed | Esperado: MSD3852 | Lido: 
Arquivo: img_000926.jpg | Status: incorrect | Esperado: ODN5493 | Lido: OON5493
Arquivo: img_000952.jpg | Status: detection_failed | Esperado: ODF7967 | Lido: 
Arquivo: img_000948.jpg | Status: ocr_failed | Esperado: OWJ3885 | Lido: 13885
Arquivo: img_000951.jpg | Status: ocr_failed | Esperado: MTV1729 | Lido: 
Arquivo: img_000955.jpg | Status: ocr_failed | Esperado: MPK9615 | Lido: 
Arquivo: img_000953.jpg | Status: incorrect | Esperado: PVD3867 | Lido: PVP3867
Arquivo: img_000958.jpg | Status: ocr_failed | Esperado: HDT7386 | Lido: 
Arquivo: img_000957.jpg | Status: incorrect | Esperado: PPC6245 | Lido: PPC6Z45
Arquivo: img_000960.jpg | Status: incorrect | Esperado: PWW9166 | Lido: PWW9I66
Arquivo: img_000965.jpg | Status: ocr_failed | Esperado: PPM5461 | Lido: PPM546
Arquivo: img_000970.jpg | Status: ocr_failed | Esperado: MQL0019 | Lido: MOLOO
Arquivo: img_000972.jpg | Status: incorrect | Esperado: PPQ1327 | Lido: PPO1327
Arquivo: img_000971.jpg | Status: incorrect | Esperado: MSJ7415 | Lido: MSJ7A15
Arquivo: img_000981.jpg | Status: ocr_failed | Esperado: NLX1454 | Lido: NX1454
Arquivo: img_000980.jpg | Status: incorrect | Esperado: MSR4148 | Lido: MSR4I48
Arquivo: img_000983.jpg | Status: incorrect | Esperado: MTW0024 | Lido: MTH0024
Arquivo: img_000993.jpg | Status: ocr_failed | Esperado: MTS3944 | Lido: TS3944
Arquivo: img_000994.jpg | Status: incorrect | Esperado: ODQ7295 | Lido: ODO7295
Arquivo: img_000997.jpg | Status: ocr_failed | Esperado: PPQ4626 | Lido: 
Arquivo: img_001001.jpg | Status: ocr_failed | Esperado: ODN7127 | Lido: ODN712
Arquivo: img_001004.jpg | Status: incorrect | Esperado: ODQ9190 | Lido: ODO9190
Arquivo: img_001019.jpg | Status: incorrect | Esperado: LPY1910 | Lido: LPY1G10
Arquivo: img_001020.jpg | Status: ocr_failed | Esperado: LUW1449 | Lido: LUW449
Arquivo: img_001029.jpg | Status: ocr_failed | Esperado: PPS8693 | Lido: 
Arquivo: img_001028.jpg | Status: incorrect | Esperado: LQK5610 | Lido: LOK5610
Arquivo: img_001035.jpg | Status: ocr_failed | Esperado: PPK5586 | Lido: 
Arquivo: img_001038.jpg | Status: ocr_failed | Esperado: MSP0881 | Lido: HILEIX
Arquivo: img_001060.jpg | Status: incorrect | Esperado: PPV4916 | Lido: APV4916
Arquivo: img_001069.jpg | Status: incorrect | Esperado: PPX4940 | Lido: PPX4G40
Arquivo: img_001063.jpg | Status: ocr_failed | Esperado: MTY6226 | Lido: 
Arquivo: img_001074.jpg | Status: ocr_failed | Esperado: ODL9978 | Lido: 
Arquivo: img_001082.jpg | Status: incorrect | Esperado: MRF7840 | Lido: MRF7B40
Arquivo: img_001078.jpg | Status: incorrect | Esperado: ELQ6596 | Lido: ELO6596
Arquivo: img_001084.jpg | Status: ocr_failed | Esperado: PPW9117 | Lido: 
Arquivo: img_001080.jpg | Status: incorrect | Esperado: QRD1576 | Lido: QRD1S76
Arquivo: img_001083.jpg | Status: incorrect | Esperado: MQF9988 | Lido: MQF9G88
Arquivo: img_001101.jpg | Status: detection_failed | Esperado: PPR1476 | Lido: 
Arquivo: img_001096.jpg | Status: incorrect | Esperado: PPA0280 | Lido: PPA0Z80
Arquivo: img_001097.jpg | Status: incorrect | Esperado: ODK0873 | Lido: ODK0B73
