--- Relatório Detalhado de Falhas ---

Arquivo: img_004274.jpg | Status: detection_failed | Esperado: ERM3130 | Lido: 
Arquivo: img_010572.jpg | Status: detection_failed | Esperado: QRF8F96 | Lido: 
Arquivo: img_011846.jpg | Status: ocr_failed | Esperado: QRF4G14 | Lido: 
Arquivo: img_004167.jpg | Status: detection_failed | Esperado: OYG2706 | Lido: 
Arquivo: img_013944.jpg | Status: ocr_failed | Esperado: MSE5H84 | Lido: 
Arquivo: img_001697.jpg | Status: ocr_failed | Esperado: PPJ9301 | Lido: PPJ930
Arquivo: img_011505.jpg | Status: ocr_failed | Esperado: QRE0J04 | Lido: 
Arquivo: img_010533.jpg | Status: incorrect | Esperado: QRF6J36 | Lido: QRF6356
Arquivo: img_000320.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_013633.jpg | Status: incorrect | Esperado: MTY6D71 | Lido: MTY6071
Arquivo: img_004295.jpg | Status: ocr_failed | Esperado: OCZ5759 | Lido: 
Arquivo: img_012941.jpg | Status: incorrect | Esperado: LTS8J63 | Lido: LTS8363
Arquivo: img_004256.jpg | Status: detection_failed | Esperado: FLD1488 | Lido: 
Arquivo: img_001976.jpg | Status: incorrect | Esperado: ODR3127 | Lido: ODR3I27
Arquivo: img_001182.jpg | Status: ocr_failed | Esperado: MSS2308 | Lido: 
Arquivo: img_013658.jpg | Status: ocr_failed | Esperado: PPL1H66 | Lido: PPL1H6
Arquivo: img_014453.jpg | Status: incorrect | Esperado: PPV8G29 | Lido: PPV8629
Arquivo: img_010756.jpg | Status: incorrect | Esperado: MRK0F05 | Lido: HRX0E05
Arquivo: img_010523.jpg | Status: ocr_failed | Esperado: OQB6A08 | Lido: Q86A08
Arquivo: img_003898.jpg | Status: detection_failed | Esperado: KVS9534 | Lido: 
Arquivo: img_010683.jpg | Status: ocr_failed | Esperado: QRF8G56 | Lido: 
Arquivo: img_002269.jpg | Status: incorrect | Esperado: OYH9062 | Lido: OYH9O62
Arquivo: img_014048.jpg | Status: incorrect | Esperado: QRF2B49 | Lido: QRF2849
Arquivo: img_012723.jpg | Status: ocr_failed | Esperado: QRJ5B67 | Lido: AMWAJUAMA
Arquivo: img_013858.jpg | Status: incorrect | Esperado: ODQ6D04 | Lido: ODQ6004
Arquivo: img_004759.jpg | Status: detection_failed | Esperado: OVL8652 | Lido: 
Arquivo: img_003914.jpg | Status: detection_failed | Esperado: MTI4098 | Lido: 
Arquivo: img_010135.jpg | Status: incorrect | Esperado: QRF1G27 | Lido: ORF1G27
Arquivo: img_012296.jpg | Status: incorrect | Esperado: FMO0J18 | Lido: FHO0J18
Arquivo: img_000284.jpg | Status: ocr_failed | Esperado: KGD4016 | Lido: 
Arquivo: img_010221.jpg | Status: incorrect | Esperado: MQE2I45 | Lido: HQE2I45
Arquivo: img_014131.jpg | Status: incorrect | Esperado: MTN8B36 | Lido: MTN8836
Arquivo: img_010291.jpg | Status: incorrect | Esperado: ODI8D36 | Lido: OOI8036
Arquivo: img_010879.jpg | Status: incorrect | Esperado: PPK3D26 | Lido: PPK3026
Arquivo: img_011606.jpg | Status: incorrect | Esperado: PKF0A92 | Lido: PKF0492
Arquivo: img_004605.jpg | Status: detection_failed | Esperado: OYI4952 | Lido: 
Arquivo: img_014156.jpg | Status: incorrect | Esperado: MQM8I31 | Lido: MQM8131
Arquivo: img_013053.jpg | Status: incorrect | Esperado: LMS9H90 | Lido: LHS9H90
Arquivo: img_000433.jpg | Status: ocr_failed | Esperado: ODG3176 | Lido: AM0DG3176
Arquivo: img_014418.jpg | Status: incorrect | Esperado: OVL9B72 | Lido: OVL9872
Arquivo: img_014960.jpg | Status: incorrect | Esperado: QRI7H51 | Lido: QRI7H53
Arquivo: img_012343.jpg | Status: ocr_failed | Esperado: JMX2H44 | Lido: 
Arquivo: img_013048.jpg | Status: incorrect | Esperado: OVL1D36 | Lido: OVL1036
Arquivo: img_003308.jpg | Status: detection_failed | Esperado: MSF6603 | Lido: 
Arquivo: img_011226.jpg | Status: incorrect | Esperado: KVW6D84 | Lido: KVW6084
Arquivo: img_014338.jpg | Status: incorrect | Esperado: QOG0B71 | Lido: QOG0871
Arquivo: img_002725.jpg | Status: ocr_failed | Esperado: MSX2549 | Lido: 
Arquivo: img_003915.jpg | Status: ocr_failed | Esperado: ODJ8751 | Lido: 
Arquivo: img_000545.jpg | Status: incorrect | Esperado: PPW4039 | Lido: PPW4O39
Arquivo: img_004132.jpg | Status: ocr_failed | Esperado: PPB6700 | Lido: PPBF700
Arquivo: img_004029.jpg | Status: detection_failed | Esperado: OQL2458 | Lido: 
Arquivo: img_000958.jpg | Status: ocr_failed | Esperado: HDT7386 | Lido: 
Arquivo: img_012724.jpg | Status: detection_failed | Esperado: QRH1H27 | Lido: 
Arquivo: img_011688.jpg | Status: incorrect | Esperado: LSV6A37 | Lido: LSV6437
Arquivo: img_011469.jpg | Status: ocr_failed | Esperado: OCY4B99 | Lido: 
Arquivo: img_013491.jpg | Status: detection_failed | Esperado: QRE1I40 | Lido: 
Arquivo: img_001056.jpg | Status: incorrect | Esperado: LPC7695 | Lido: LPC7G95
Arquivo: img_011330.jpg | Status: incorrect | Esperado: QRK3I88 | Lido: QRK3188
Arquivo: img_004246.jpg | Status: detection_failed | Esperado: PPT5778 | Lido: 
Arquivo: img_010142.jpg | Status: incorrect | Esperado: MQD6J75 | Lido: HOD6J29
Arquivo: img_002940.jpg | Status: ocr_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_004896.jpg | Status: ocr_failed | Esperado: MQU1348 | Lido: 
Arquivo: img_000818.jpg | Status: ocr_failed | Esperado: OVF0528 | Lido: OVF052R
Arquivo: img_001713.jpg | Status: ocr_failed | Esperado: MTZ4291 | Lido: 
Arquivo: img_014330.jpg | Status: incorrect | Esperado: QRK2A84 | Lido: QRK2484
Arquivo: img_004358.jpg | Status: incorrect | Esperado: OVI8975 | Lido: OVI8G75
Arquivo: img_003780.jpg | Status: detection_failed | Esperado: MTT8575 | Lido: 
Arquivo: img_000457.jpg | Status: incorrect | Esperado: AKE0129 | Lido: AKE8012
Arquivo: img_000289.jpg | Status: ocr_failed | Esperado: PPF9168 | Lido: 
Arquivo: img_002065.jpg | Status: incorrect | Esperado: PPI7079 | Lido: PPO7079
Arquivo: img_011751.jpg | Status: incorrect | Esperado: QRI3G65 | Lido: QRI3665
Arquivo: img_002427.jpg | Status: detection_failed | Esperado: PPW7385 | Lido: 
Arquivo: img_000179.jpg | Status: detection_failed | Esperado: PPV2861 | Lido: 
Arquivo: img_014961.jpg | Status: ocr_failed | Esperado: KZP1H91 | Lido: 
Arquivo: img_000236.jpg | Status: incorrect | Esperado: MQW8039 | Lido: MQN8039
Arquivo: img_000104.jpg | Status: detection_failed | Esperado: MRO9366 | Lido: 
Arquivo: img_004324.jpg | Status: detection_failed | Esperado: OUS1848 | Lido: 
Arquivo: img_012676.jpg | Status: incorrect | Esperado: QRF8G17 | Lido: ORF8G17
Arquivo: img_003161.jpg | Status: ocr_failed | Esperado: ODT6181 | Lido: 006181
Arquivo: img_013862.jpg | Status: incorrect | Esperado: QRH2I50 | Lido: ORH2150
Arquivo: img_004430.jpg | Status: detection_failed | Esperado: GWI1894 | Lido: 
Arquivo: img_000139.jpg | Status: detection_failed | Esperado: OYI8894 | Lido: 
Arquivo: img_003800.jpg | Status: detection_failed | Esperado: PPD1667 | Lido: 
Arquivo: img_013358.jpg | Status: incorrect | Esperado: QRI1A35 | Lido: QRI1435
Arquivo: img_014422.jpg | Status: incorrect | Esperado: QRE8B56 | Lido: QRE8856
Arquivo: img_010985.jpg | Status: incorrect | Esperado: QRB3F96 | Lido: GRB3F96
Arquivo: img_014040.jpg | Status: incorrect | Esperado: OCY0B60 | Lido: OCY0860
Arquivo: img_001242.jpg | Status: ocr_failed | Esperado: MSM2979 | Lido: 
Arquivo: img_003918.jpg | Status: detection_failed | Esperado: QQS1833 | Lido: 
Arquivo: img_014795.jpg | Status: incorrect | Esperado: OVE9I99 | Lido: DVE9I96
Arquivo: img_001866.jpg | Status: ocr_failed | Esperado: MTZ8488 | Lido: 
Arquivo: img_004617.jpg | Status: detection_failed | Esperado: MQF3900 | Lido: 
Arquivo: img_001797.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_012765.jpg | Status: ocr_failed | Esperado: QRJ7A99 | Lido: 
Arquivo: img_003972.jpg | Status: incorrect | Esperado: ODS3923 | Lido: OOS3G23
Arquivo: img_001243.jpg | Status: incorrect | Esperado: ODO9891 | Lido: OOO9891
Arquivo: img_010189.jpg | Status: incorrect | Esperado: OYG8C87 | Lido: OVG8C87
Arquivo: img_002957.jpg | Status: ocr_failed | Esperado: PPX5172 | Lido: 
Arquivo: img_004318.jpg | Status: ocr_failed | Esperado: ODO2347 | Lido: 
Arquivo: img_004115.jpg | Status: detection_failed | Esperado: OCV0179 | Lido: 
Arquivo: img_010456.jpg | Status: incorrect | Esperado: OVE8D86 | Lido: OVE8O86
Arquivo: img_012554.jpg | Status: ocr_failed | Esperado: ODL0F34 | Lido: 
Arquivo: img_003667.jpg | Status: detection_failed | Esperado: PPR0808 | Lido: 
Arquivo: img_000765.jpg | Status: incorrect | Esperado: ODT5253 | Lido: OOT5253
Arquivo: img_004429.jpg | Status: incorrect | Esperado: QOC6984 | Lido: SLC6984
Arquivo: img_001865.jpg | Status: incorrect | Esperado: ODE1235 | Lido: ODE1Z35
Arquivo: img_003239.jpg | Status: incorrect | Esperado: ODP0519 | Lido: OOP0519
Arquivo: img_014470.jpg | Status: incorrect | Esperado: NBT3A91 | Lido: NBT3491
Arquivo: img_004866.jpg | Status: detection_failed | Esperado: OQL2352 | Lido: 
Arquivo: img_004392.jpg | Status: ocr_failed | Esperado: QQE2608 | Lido: 2608
Arquivo: img_014723.jpg | Status: incorrect | Esperado: PPS8G99 | Lido: PPS8699
Arquivo: img_010819.jpg | Status: incorrect | Esperado: LNH9G59 | Lido: LNH0G50
Arquivo: img_002606.jpg | Status: incorrect | Esperado: ODR3706 | Lido: OOR3706
Arquivo: img_004484.jpg | Status: ocr_failed | Esperado: JGJ2547 | Lido: 
Arquivo: img_011289.jpg | Status: incorrect | Esperado: MTB4B64 | Lido: HTB4864
Arquivo: img_002549.jpg | Status: incorrect | Esperado: MQJ7289 | Lido: MOJ7289
Arquivo: img_004886.jpg | Status: detection_failed | Esperado: PPB2722 | Lido: 
Arquivo: img_004147.jpg | Status: detection_failed | Esperado: KVS9534 | Lido: 
Arquivo: img_014400.jpg | Status: incorrect | Esperado: MRF4D33 | Lido: MRF4033
Arquivo: img_010834.jpg | Status: detection_failed | Esperado: QRH7C17 | Lido: 
